start station id,name,latitude,longitude,edge,group,groupdes
167,E 39 St & 3 Ave,40.7489006,-73.97604882,8,8,Midtown East - Midtown West
153,E 40 St & 5 Ave,40.75206231,-73.9816324,9,8,Midtown East - Midtown West
517,E 41 St & Madison Ave,40.752141,-73.979782,37,8,Midtown East - Midtown West
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,19,8,Midtown East - Midtown West
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,5,8,Midtown East - Midtown West
440,E 45 St & 3 Ave,40.75255434,-73.97282625,15,8,Midtown East - Midtown West
516,E 47 St & 1 Ave,40.75206862,-73.96784384,5,8,Midtown East - Midtown West
164,E 47 St & 2 Ave,40.75323098,-73.97032517,15,8,Midtown East - Midtown West
359,E 47 St & Park Ave,40.75510267,-73.97498696,41,8,Midtown East - Midtown West
228,E 48 St & 3 Ave,40.7546011,-73.97187886,12,8,Midtown East - Midtown West
454,E 51 St & 1 Ave,40.75455731,-73.96592976,5,8,Midtown East - Midtown West
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,5,8,Midtown East - Midtown West
441,E 52 St & 2 Ave,40.756014,-73.967416,3,8,Midtown East - Midtown West
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,44,8,Midtown East - Midtown West
456,E 53 St & Madison Ave,40.7597108,-73.97402311,70,8,Midtown East - Midtown West
385,E 55 St & 2 Ave,40.75797322,-73.96603308,12,8,Midtown East - Midtown West
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,60,8,Midtown East - Midtown West
464,E 56 St & 3 Ave,40.75934501,-73.96759673,3,8,Midtown East - Midtown West
137,E 56 St & Madison Ave,40.761628,-73.972924,58,8,Midtown East - Midtown West
305,E 58 St & 3 Ave,40.76095756,-73.96724467,12,8,Midtown East - Midtown West
2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,36,8,Midtown East - Midtown West
501,FDR Drive & E 35 St,40.744219,-73.97121214,5,8,Midtown East - Midtown West
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,8,8,Midtown East - Midtown West
383,Greenwich Ave & Charles St,40.735238,-74.000271,2,8,Midtown East - Midtown West
329,Greenwich St & N Moore St,40.72043411,-74.01020609,10,8,Midtown East - Midtown West
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,9,8,Midtown East - Midtown West
540,Lexington Ave & E 26 St,40.74147286,-73.98320928,30,8,Midtown East - Midtown West
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2,8,Midtown East - Midtown West
247,Perry St & Bleecker St,40.73535398,-74.00483091,10,8,Midtown East - Midtown West
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,18,8,Midtown East - Midtown West
